cell_id,z,y,x,CD31,CD20,CD11b,CD4,CD11c,Catalase,marker
Catalase_11,72,279,1144,0.2889,0.282,0.2436,0.2792,0.3096,0.5243,Catalase
Catalase_12,79,346,929,0.2561,0.3212,0.2115,0.1911,0.2332,0.5946,Catalase
Catalase_13,83,365,942,0.2075,0.3091,0.1755,0.3206,0.2296,0.4657,Catalase
Catalase_14,71,122,851,0.3039,0.3963,0.364,0.2659,0.2969,0.679,Catalase
Catalase_15,78,305,996,0.275,0.3295,0.226,0.2214,0.2858,0.857,Catalase
Catalase_16,73,221,1002,0.372,0.4714,0.2947,0.2713,0.3611,0.63,Catalase
Catalase_17,80,388,726,0.2996,0.3367,0.1628,0.2963,0.3173,0.5585,Catalase
Catalase_18,72,151,818,0.3881,0.4724,0.3212,0.347,0.3782,0.2567,Catalase
Catalase_19,87,348,913,0.2581,0.38,0.1798,0.2561,0.2246,0.3295,Catalase
Catalase_2,55,407,496,0.2644,0.4762,0.3148,0.3023,0.3701,0.8108,Catalase
Catalase_20,88,258,1112,0.3379,0.3488,0.1668,0.2398,0.2675,0.527,Catalase
Catalase_21,80,271,712,0.2831,0.3115,0.2298,0.1862,0.3056,0.5774,Catalase
Catalase_22,89,277,1097,0.248,0.3651,0.2262,0.187,0.2771,0.4063,Catalase
Catalase_23,83,415,689,0.2866,0.3402,0.2067,0.3276,0.3085,0.7493,Catalase
Catalase_24,79,277,1056,0.3971,0.3886,0.2999,0.3921,0.4692,0.665,Catalase
Catalase_25,87,294,1023,0.3409,0.2987,0.235,0.2734,0.336,0.5574,Catalase
Catalase_26,87,368,759,0.2322,0.3503,0.1978,0.2007,0.2977,0.4684,Catalase
Catalase_27,85,601,163,0.374,0.3598,0.2248,0.1653,0.2793,0.6524,Catalase
Catalase_28,93,681,390,0.2686,0.3209,0.2265,0.1746,0.2968,0.562,Catalase
Catalase_29,90,374,837,0.2664,0.3325,0.2129,0.2948,0.2656,0.5184,Catalase
Catalase_3,57,99,927,0.4016,0.5413,0.343,0.4632,0.3811,0.8838,Catalase
Catalase_30,89,179,1099,0.3506,0.3681,0.2623,0.2644,0.374,0.5669,Catalase
Catalase_31,82,243,1145,0.3233,0.3793,0.2515,0.3145,0.4102,0.668,Catalase
Catalase_32,85,354,720,0.351,0.4154,0.2531,0.2916,0.3173,0.7662,Catalase
Catalase_33,116,410,79,0.2782,0.2775,0.181,0.2714,0.2163,0.5279,Catalase
Catalase_34,86,412,797,0.2783,0.4821,0.2597,0.313,0.3383,0.3351,Catalase
Catalase_35,92,357,749,0.2815,0.449,0.2659,0.2088,0.246,0.5943,Catalase
Catalase_36,90,377,757,0.2846,0.36,0.1989,0.1748,0.2801,0.417,Catalase
Catalase_37,93,437,109,0.416,0.3562,0.3309,0.308,0.3761,0.9722,Catalase
Catalase_38,90,486,416,0.3324,0.3757,0.2388,0.2544,0.3179,0.5988,Catalase
Catalase_39,87,186,1274,0.378,0.5504,0.3101,0.2656,0.5227,0.8887,Catalase
Catalase_4,65,350,1286,0.2746,0.3914,0.3297,0.2539,0.3514,1.0,Catalase
Catalase_40,91,442,647,0.3373,0.4264,0.2737,0.3731,0.2526,0.4925,Catalase
Catalase_41,93,547,345,0.433,0.3304,0.2613,0.3176,0.2699,0.7454,Catalase
Catalase_42,87,597,67,0.3362,0.3911,0.332,0.3804,0.3308,0.823,Catalase
Catalase_43,93,227,1232,0.2815,0.2799,0.1968,0.243,0.2868,0.5953,Catalase
Catalase_44,88,610,169,0.3564,0.4806,0.239,0.4795,0.3798,0.763,Catalase
Catalase_45,96,274,807,0.2668,0.3686,0.2247,0.2077,0.3008,0.5127,Catalase
Catalase_46,97,286,770,0.3013,0.3504,0.2435,0.2217,0.253,0.5256,Catalase
Catalase_47,102,494,974,0.2836,0.3822,0.2004,0.3031,0.2548,0.4228,Catalase
Catalase_48,93,538,163,0.3042,0.3651,0.3305,0.3201,0.2715,0.615,Catalase
Catalase_49,96,383,878,0.3524,0.3782,0.2263,0.2939,0.3223,0.5585,Catalase
Catalase_5,71,411,505,0.349,0.34,0.2801,0.2412,0.264,0.3745,Catalase
Catalase_50,90,307,761,0.3848,0.4264,0.3149,0.2431,0.4801,0.4048,Catalase
Catalase_51,90,400,726,0.3594,0.3663,0.2562,0.4049,0.3518,0.615,Catalase
Catalase_52,99,601,350,0.3053,0.3939,0.2018,0.2333,0.3071,0.4836,Catalase
Catalase_53,95,355,770,0.4559,0.3597,0.2955,0.3035,0.306,0.645,Catalase
Catalase_54,93,515,213,0.3665,0.4875,0.2991,0.349,0.2969,0.7111,Catalase
Catalase_55,97,319,725,0.3586,0.4258,0.2703,0.3218,0.3764,0.3576,Catalase
Catalase_56,98,611,176,0.3003,0.4288,0.2908,0.3051,0.2908,0.6701,Catalase
Catalase_57,100,641,132,0.3676,0.397,0.2247,0.328,0.2526,0.6879,Catalase
Catalase_58,100,650,130,0.3396,0.4116,0.291,0.4046,0.2706,0.7453,Catalase
Catalase_59,109,488,604,0.2807,0.2864,0.2303,0.3167,0.2907,0.5671,Catalase
Catalase_6,58,102,879,0.3271,0.4756,0.2185,0.2917,0.4123,0.7616,Catalase
Catalase_60,103,535,400,0.2874,0.3689,0.2319,0.2895,0.2965,0.4119,Catalase
Catalase_61,101,315,850,0.3485,0.3151,0.217,0.3152,0.3033,0.5561,Catalase
Catalase_62,98,607,162,0.4233,0.5493,0.3193,0.3441,0.3319,0.8062,Catalase
Catalase_63,111,170,1101,0.303,0.3628,0.2471,0.2288,0.2543,0.4472,Catalase
Catalase_64,103,573,108,0.3273,0.3432,0.2843,0.3875,0.3515,0.6682,Catalase
Catalase_65,109,314,864,0.2798,0.3421,0.2154,0.3209,0.2886,0.4909,Catalase
Catalase_66,109,575,273,0.4122,0.3373,0.1932,0.2138,0.2638,0.5053,Catalase
Catalase_67,101,187,1007,0.3849,0.3745,0.3257,0.3269,0.305,0.7916,Catalase
Catalase_68,108,543,380,0.3189,0.371,0.2279,0.347,0.3052,0.4822,Catalase
Catalase_69,109,682,115,0.3123,0.4522,0.395,0.3513,0.0,0.418,Catalase
Catalase_7,59,233,715,0.2839,0.438,0.2831,0.3295,0.3351,0.606,Catalase
Catalase_70,109,166,1108,0.2704,0.5076,0.2238,0.2308,0.2631,0.5152,Catalase
Catalase_71,104,293,785,0.3296,0.5781,0.2782,0.3899,0.362,0.6411,Catalase
Catalase_72,114,328,880,0.2729,0.311,0.17,0.2001,0.2361,0.4186,Catalase
Catalase_73,109,349,969,0.2933,0.4294,0.2716,0.3097,0.3025,0.5549,Catalase
Catalase_74,106,661,176,0.4104,0.4427,0.2755,0.3416,0.3783,0.756,Catalase
Catalase_75,114,663,127,0.2846,0.3571,0.2369,0.208,0.2871,0.4935,Catalase
Catalase_76,105,219,1049,0.3417,0.5485,0.2899,0.3479,0.2883,0.6951,Catalase
Catalase_77,106,358,747,0.4238,0.5399,0.2652,0.2501,0.423,0.6802,Catalase
Catalase_78,114,637,198,0.3066,0.3245,0.2179,0.2843,0.2998,0.667,Catalase
Catalase_79,117,267,1063,0.2946,0.3243,0.2462,0.2867,0.2473,0.5683,Catalase
Catalase_8,70,413,496,0.3085,0.3234,0.256,0.3086,0.3064,0.5114,Catalase
Catalase_80,118,320,861,0.2737,0.3346,0.2012,0.2629,0.291,0.4805,Catalase
Catalase_81,114,299,1021,0.3519,0.3738,0.2752,0.2844,0.2754,0.6072,Catalase
Catalase_82,116,343,719,0.2975,0.3781,0.1916,0.3212,0.3051,0.4839,Catalase
Catalase_83,118,629,689,0.3329,0.0,0.1867,0.0,0.3462,0.5438,Catalase
Catalase_84,115,309,1074,0.3371,0.4223,0.6781,0.2932,0.2552,0.5771,Catalase
Catalase_85,126,316,829,0.3486,0.2934,0.191,0.3091,0.2405,0.5702,Catalase
Catalase_86,128,349,971,0.3334,0.3352,0.2636,0.2467,0.2921,0.7365,Catalase
Catalase_87,124,230,1087,0.3262,0.5599,0.369,0.2994,0.3715,0.6331,Catalase
Catalase_88,125,299,1016,0.3699,0.4419,0.3226,0.2566,0.3501,0.658,Catalase
Catalase_89,137,318,843,0.305,0.3073,0.1955,0.1965,0.2332,0.5417,Catalase
Catalase_9,73,313,980,0.309,0.278,0.2098,0.1869,0.2371,0.4417,Catalase
Catalase_90,129,335,775,0.306,0.4057,0.2448,0.2399,0.2939,0.5386,Catalase
Catalase_91,127,342,736,0.3565,0.4188,0.2347,0.2205,0.2812,0.586,Catalase
Catalase_92,132,384,860,0.2832,0.2659,0.2095,0.3398,0.242,0.4659,Catalase
Catalase_93,128,227,1044,0.3222,0.4231,0.2285,0.3749,0.2729,0.665,Catalase
Catalase_94,132,208,1008,0.2167,0.3116,0.2111,0.225,0.2782,0.4545,Catalase
Catalase_95,129,342,713,0.3843,0.4848,0.3335,0.3489,0.3551,0.5988,Catalase
Catalase_96,134,222,1008,0.2447,0.3652,0.2384,0.1898,0.2529,0.4913,Catalase
Catalase_97,129,471,496,0.4027,0.512,0.234,0.4023,0.3318,0.5256,Catalase
Catalase_98,132,389,850,0.456,0.4954,0.3203,0.3086,0.369,0.6673,Catalase
